symbol,security,gics_sector,gics_industry,country,region,report_url,report year,annual carbon emissions (tonnes co₂),annual water consumption (cubic meters),renewable energy usage (mwh),sustainable materials usage ratio (percent),waste recycling rate (percent)
SGRO.L,Segro,Real Estate,Real Estate Investment Trusts,GB,Europe,https://www.segro.com/media/0qeiez3o/sustainability-report-2012.pdf,2012,,103092.0,8557.0,,79.0
SVT.L,Severn Trent,Utilities,Multiline Utilities,GB,Europe,https://www.severntrent.com/content/dam/stw-plc/sustainability-report-2024.pdf,2024,,126.0,,,
SVT.L,Severn Trent,Utilities,Multiline Utilities,GB,Europe,https://www.severntrent.com/content/dam/stw-plc/shareholder-resources/sustainability-report-2020.pdf,2020,,130.0,51.0,,99.0
SVT.L,Severn Trent,Utilities,Multiline Utilities,GB,Europe,https://www.severntrent.com/content/dam/stw-plc/interactive-sustainability-report/publication/contents/templates/Severn_Trent_plc_Sustainability_Report_2021.pdf,2021,102113.0,25000000.0,53.0,100.0,87.0
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2016.pdf,2016,70000000.0,152000000.0,9500000000.0,75.0,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2019.pdf,2019,70000000.0,192000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2014.pdf,2014,76000000.0,199000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2011.pdf,2011,74000000.0,209000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2006.pdf,2006,,,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2005.pdf,2005,105000000.0,638000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2009.pdf,2009,64000000.0,198000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2013.pdf,2013,73000000.0,198000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2010.pdf,2010,75000000.0,202000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2012.pdf,2012,72000000.0,203000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2015.pdf,2015,72000000.0,186000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SHEL_2021.pdf,2021,68000000.0,,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2008.pdf,2008,,224000000.0,550.0,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SHEL_2022.pdf,2022,51000000.0,,243.0,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2020.pdf,2020,63000000.0,171000000.0,1800000.0,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2018.pdf,2018,71000000.0,147000000.0,,,
SHEL.L,Shell plc,Energy,Oil & Gas Exploration & Production,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RDS_2017.pdf,2017,73000000.0,201000000.0,,,
SMDS.L,DS Smith,Industrials,General Industrials,GB,Europe,https://www.dssmith.com/globalassets/corporate/sustainability/sustainability-report-2021-databook/sr_2021_pages.pdf,2021,,,,,100.0
SMDS.L,DS Smith,Industrials,General Industrials,GB,Europe,https://www.dssmith.com/globalassets/corporate/sustainability/sustainability-report-databook-2022/2021-22-sustainability-report.pdf,2022,8250702.0,8080000.0,21.0,100.0,63.0
SMDS.L,DS Smith,Industrials,General Industrials,GB,Europe,https://www.dssmith.com/contentassets/c07f2d3e48d34a70bb8b3aaa60f3cafb/ds-smith-sustainability-report-2023.pdf,2023,7391418.0,,26.0,,
SMDS.L,DS Smith,Industrials,General Industrials,GB,Europe,https://www.dssmith.com/globalassets/corporate/sustainability/sustainbility-2020-reports-and-docs/ds-smith-2020-sustainability-report-double-page.pdf,2020,,,,,96.0
SMIN.L,Smiths Group,Industrials,General Industrials,GB,Europe,https://www.smiths.com/media/vfknygn2/smiths-crr-2016.pdf,2016,79000.0,428000.0,,,
