symbol,security,gics_sector,gics_industry,country,region,report_url,report_year
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://corporate.lowes.com/sites/lowes-corp/files/2023-04/Lowes_2021_CSR_06.03.22_Final.pdf,2021.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2017.pdf,2017.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://s202.q4cdn.com/285121676/files/doc_downloads/2024/FINAL-M-2023-Corporate-Responsibility-Report.pdf,2024.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://assets.kpmg.com/content/dam/kpmg/pdf/2013/12/corporate-responsibility-reporting-survey-2013.pdf,2013.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-sustainability-report-2019.pdf,2019.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://www.apple.com/tr/environment/pdf/Apple_Environmental_Responsibility_Report_2018.pdf,2018.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-corporate-responsibility-report-2015.pdf,2015.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2018.pdf,2018.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2013.pdf,2013.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2020.pdf,2020.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2014.pdf,2014.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2022.pdf,2022.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2019.pdf,2019.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2012.pdf,2012.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2016.pdf,2016.0
